leadI_mV,leadII_mV,leadIII_mV
-5.9331,-2.5916,3.3416
-5.9666,-2.6086,3.3580
-5.9770,-2.5766,3.4004
-5.9943,-2.5228,3.4716
-6.0814,-2.4993,3.5821
-6.1203,-2.5126,3.6077
-6.0923,-2.5358,3.5565
-6.0649,-2.5530,3.5119
-6.0600,-2.5577,3.5023
-6.0664,-2.5600,3.5065
-6.0462,-2.6074,3.4387
-6.0063,-2.6411,3.3653
-5.9757,-2.6496,3.3261
-5.9589,-2.5986,3.3602
-5.9947,-2.5536,3.4410
-6.0878,-2.5569,3.5309
-6.1250,-2.6175,3.5075
-6.1295,-2.6710,3.4586
-6.0779,-2.7082,3.3696
-6.0565,-2.7186,3.3378
-6.0915,-2.7696,3.3219
-6.0997,-2.8461,3.2535
-6.0473,-2.8429,3.2044
-5.9838,-2.7808,3.2030
-5.9428,-2.6772,3.2656
-6.0147,-2.6071,3.4076
-6.1435,-2.6266,3.5169
-6.1837,-2.7002,3.4834
-6.1747,-2.7861,3.3886
-6.1787,-2.8802,3.2985
-6.2344,-2.9560,3.2784
-6.3251,-3.0348,3.2903
-6.3325,-3.0374,3.2951
-6.2097,-2.9313,3.2784
-6.0271,-2.7777,3.2494
-5.9120,-2.6450,3.2670
-5.9542,-2.6245,3.3297
-6.0267,-2.6711,3.3556
-6.0617,-2.7367,3.3251
-6.0602,-2.7879,3.2724
-6.0756,-2.8376,3.2381
-6.1353,-2.8894,3.2459
-6.2084,-2.9840,3.2243
-6.2466,-3.0308,3.2158
-6.2123,-2.9930,3.2193
-6.1259,-2.8976,3.2283
-6.0639,-2.7791,3.2848
-6.0679,-2.6870,3.3809
-6.0791,-2.6810,3.3980
-6.0929,-2.7269,3.3660
-6.1026,-2.8160,3.2866
-6.1003,-2.8647,3.2356
-6.0945,-2.9075,3.1870
-6.1389,-2.9835,3.1553
-6.1579,-2.9878,3.1702
-6.0716,-2.8962,3.1754
-5.9466,-2.7866,3.1601
-5.9207,-2.7345,3.1862
-6.0505,-2.7682,3.2822
-6.1698,-2.8465,3.3234
-6.2207,-2.9209,3.2998
-6.2011,-2.9554,3.2457
-6.1619,-2.9615,3.2004
-6.1909,-3.0357,3.1553
-6.2587,-3.1166,3.1421
-6.2521,-3.0890,3.1631
-6.1692,-3.0008,3.1684
-6.0640,-2.8979,3.1661
-6.0389,-2.7879,3.2509
-6.0832,-2.7856,3.2976
-6.0826,-2.7948,3.2878
-5.9732,-2.7319,3.2413
-5.8564,-2.6460,3.2104
-5.8528,-2.6581,3.1947
-5.9499,-2.7888,3.1611
-6.0163,-2.8629,3.1534
-5.9811,-2.8549,3.1261
-5.8892,-2.7856,3.1036
-5.9275,-2.7503,3.1772
-6.0816,-2.7848,3.2967
-6.2008,-2.8751,3.3257
-6.2624,-2.9445,3.3179
-6.2287,-2.9669,3.2619
-6.1333,-2.9306,3.2027
-6.1025,-2.9474,3.1551
-6.0827,-2.9810,3.1017
-6.0368,-2.9373,3.0994
-5.9936,-2.8575,3.1360
-5.9742,-2.7803,3.1938
-5.9949,-2.7189,3.2760
-6.0122,-2.7033,3.3089
-5.9635,-2.7186,3.2448
-5.9429,-2.7534,3.1894
-5.9805,-2.8153,3.1652
-6.0360,-2.8732,3.1627
-6.1354,-2.9725,3.1629
-6.1954,-3.0666,3.1288
-6.1723,-3.0786,3.0937
-6.0972,-3.0013,3.0959
-6.0209,-2.8713,3.1496
-5.9766,-2.7672,3.2095
-5.9139,-2.7122,3.2016
-5.9042,-2.7261,3.1781
-5.9587,-2.7867,3.1720
-6.0179,-2.8436,3.1743
-6.0867,-2.9147,3.1719
-6.1288,-3.0116,3.1172
-6.1299,-3.0396,3.0902
-6.1063,-2.9913,3.1150
-6.0404,-2.9037,3.1367
-5.9682,-2.7877,3.1805
-5.9601,-2.7256,3.2345
-5.9787,-2.7499,3.2287
-5.9947,-2.7924,3.2023
-5.9637,-2.8193,3.1444
-5.9562,-2.8138,3.1424
-6.0089,-2.8432,3.1657
-6.0792,-2.9328,3.1463
-6.1299,-2.9442,3.1857
-6.1031,-2.8709,3.2322
-6.0050,-2.7891,3.2159
-5.9132,-2.7239,3.1893
-5.9277,-2.7248,3.2028
-5.9618,-2.7599,3.2019
-5.9382,-2.7808,3.1574
-5.9176,-2.8179,3.0998
-5.9702,-2.8530,3.1172
-6.0899,-2.9360,3.1539
-6.1899,-2.9980,3.1920
-6.1778,-2.9634,3.2144
-6.0573,-2.8665,3.1908
-5.9378,-2.7614,3.1765
-5.9389,-2.7166,3.2223
-5.9875,-2.7611,3.2264
-5.9700,-2.8163,3.1537
-5.9306,-2.8535,3.0770
-5.9024,-2.8307,3.0717
-5.9331,-2.8139,3.1193
-6.0334,-2.8804,3.1530
-6.0911,-2.9114,3.1797
-6.0787,-2.8891,3.1896
-6.0354,-2.8121,3.2233
-6.0329,-2.7153,3.3176
-6.0882,-2.6805,3.4077
-6.0888,-2.6774,3.4114
-6.0778,-2.6954,3.3824
-6.0349,-2.7332,3.3017
-5.9852,-2.7570,3.2282
-6.0004,-2.8081,3.1923
-6.0389,-2.8561,3.1828
-6.0478,-2.8148,3.2330
-6.0019,-2.7361,3.2658
-5.9548,-2.6450,3.3098
-5.9692,-2.5805,3.3887
-6.0104,-2.5875,3.4229
-6.0074,-2.6464,3.3610
-6.0102,-2.7078,3.3024
-6.0005,-2.7568,3.2437
-5.9928,-2.7879,3.2050
-5.9954,-2.8423,3.1531
-5.9719,-2.8827,3.0893
-5.9468,-2.8566,3.0902
-5.9385,-2.7776,3.1609
-5.9372,-2.6836,3.2536
-5.9909,-2.6422,3.3487
-6.0297,-2.6703,3.3594
-6.0381,-2.7103,3.3279
-6.0320,-2.7522,3.2798
-6.0238,-2.7801,3.2437
-6.0467,-2.8296,3.2172
-6.0981,-2.9166,3.1815
-6.1232,-2.9661,3.1571
-6.1078,-2.9594,3.1484
-6.0135,-2.8803,3.1332
-5.9398,-2.7834,3.1563
-5.9737,-2.7526,3.2211
-6.0072,-2.7769,3.2303
-6.0231,-2.8141,3.2090
-6.0149,-2.8533,3.1616
-6.0137,-2.8698,3.1439
-6.0261,-2.9240,3.1021
-6.0504,-2.9973,3.0530
-6.0756,-2.9989,3.0767
-6.0258,-2.9387,3.0871
-5.9173,-2.8450,3.0723
-5.9202,-2.7794,3.1408
-5.9795,-2.8024,3.1771
-5.9802,-2.8607,3.1195
-5.9969,-2.9007,3.0962
-6.0337,-2.9272,3.1064
-6.0896,-2.9687,3.1208
-6.1464,-3.0467,3.0997
-6.1678,-3.0734,3.0944
-6.1130,-3.0074,3.1056
-6.0417,-2.9188,3.1229
-6.0066,-2.8406,3.1660
-6.0507,-2.8181,3.2326
-6.0829,-2.8549,3.2280
-6.0668,-2.8922,3.1746
-6.0632,-2.9170,3.1462
-6.0634,-2.9285,3.1349
-6.0724,-2.9545,3.1180
-6.1098,-3.0143,3.0956
-6.1063,-3.0330,3.0733
-6.0661,-2.9855,3.0806
-6.0156,-2.9148,3.1008
-5.9877,-2.8405,3.1472
-5.9970,-2.8138,3.1832
-5.9862,-2.8429,3.1432
-5.9737,-2.8672,3.1064
-5.9918,-2.8804,3.1114
