id,uptimeMs,bpm,rrMed,rrDp,picos,flags
24,835769,0,0,0,0,0x80
25,867738,0,0,0,0,0x80
26,899798,0,0,0,0,0x80
27,931717,0,0,0,0,0x80
1,103504,0,0,0,1,0x80
2,130673,0,0,0,0,0x80
3,157652,0,0,0,0,0x80
4,183943,0,0,0,0,0x80
1,38715,0,0,0,1,0x80
2,69665,0,0,0,0,0x80
3,99389,0,0,0,0,0x80
1,51228,0,0,0,1,0x80
2,77539,0,0,0,0,0x80
3,103700,0,0,0,0,0x80
4,130920,0,0,0,0,0x80
5,156494,0,0,0,0,0x80
6,181430,0,0,0,0,0x80
7,206617,0,0,0,0,0x80
8,231819,0,0,0,0,0x80
9,257103,0,0,0,0,0x80
10,281887,0,0,0,0,0x80
11,306949,0,0,0,1,0x80
12,331654,0,0,0,0,0x80
13,357114,0,0,0,0,0x80
14,382212,0,0,0,0,0x80
1,32689,0,0,0,1,0x80
2,58078,0,0,0,0,0x80
3,82507,0,0,0,0,0x80
4,106380,0,0,0,0,0x80
5,129741,0,0,0,0,0x80
6,152798,0,0,0,0,0x80
7,178025,0,0,0,0,0x80
8,203199,0,0,0,0,0x80
1,77206,0,0,0,1,0x80
2,110329,0,0,0,0,0x80
3,135438,0,0,0,0,0x80
4,161146,0,0,0,0,0x80
1,65727,0,0,0,1,0x80
2,90919,0,0,0,0,0x80
3,116023,0,0,0,0,0x80
4,141322,0,0,0,0,0x80
5,164771,0,0,0,0,0x80
6,186201,0,0,0,0,0x80
7,207371,0,0,0,0,0x80
8,228025,0,0,0,0,0x80
9,249162,0,0,0,0,0x80
10,271631,0,0,0,0,0x80
11,295057,0,0,0,0,0x80
1,35527,0,0,0,1,0x80
2,61820,0,0,0,0,0x80
3,87864,0,0,0,0,0x80
4,112376,0,0,0,0,0x80
5,136843,0,0,0,0,0x80
6,161620,0,0,0,0,0x80
7,184295,0,0,0,0,0x80
8,206643,0,0,0,0,0x80
9,228779,0,0,0,0,0x80
1,62715,0,0,0,1,0x80
2,88685,0,0,0,0,0x80
3,112715,0,0,0,0,0x80
4,135105,0,0,0,0,0x80
5,157388,0,0,0,0,0x80
6,179081,0,0,0,0,0x80
7,199523,0,0,0,0,0x80
8,219526,0,0,0,0,0x80
9,239274,0,0,0,0,0x80
10,258978,0,0,0,0,0x80
11,279903,0,0,0,0,0x80
12,301453,0,0,0,0,0x80
13,323126,0,0,0,0,0x80
14,344434,0,0,0,0,0x80
15,365770,0,0,0,0,0x80
1,30488,0,0,0,1,0x80
2,52081,0,0,0,0,0x80
3,73480,0,0,0,0,0x80
4,94531,0,0,0,0,0x80
5,115096,0,0,0,0,0x80
6,135496,0,0,0,0,0x80
1,23487,0,0,0,1,0x80
1,25171,0,0,0,1,0x80
2,44477,0,0,0,0,0x80
1,33165,0,0,0,1,0x80
1,19957,0,0,0,1,0x80
2,40931,0,0,0,0,0x80
3,61287,0,0,0,0,0x80
4,81577,0,0,0,0,0x80
5,101320,0,0,0,0,0x80
6,121531,0,0,0,0,0x80
7,140770,0,0,0,0,0x80
8,160781,0,0,0,0,0x80
9,181392,0,0,0,0,0x80
10,201789,0,0,0,0,0x80
11,221500,0,0,0,0,0x80
12,241268,0,0,0,0,0x80
13,261171,0,0,0,0,0x80
14,281249,0,0,0,0,0x80
15,301551,0,0,0,0,0x80
16,321808,0,0,0,0,0x80
17,341359,0,0,0,0,0x80
18,361666,0,0,0,0,0x80
19,381072,0,0,0,0,0x80
20,400410,0,0,0,0,0x80
21,420153,0,0,0,0,0x80
22,440063,0,0,0,0,0x80
23,460330,0,0,0,0,0x80
24,480180,0,0,0,0,0x80
25,499289,0,0,0,0,0x80
26,519011,0,0,0,0,0x80
27,537784,0,0,0,0,0x80
28,556921,0,0,0,0,0x80
29,576798,0,0,0,0,0x80
30,596407,0,0,0,0,0x80
31,617067,0,0,0,0,0x80
32,637687,0,0,0,0,0x80
33,658488,0,0,0,0,0x80
34,678740,0,0,0,0,0x80
35,699269,0,0,0,0,0x80
36,719744,0,0,0,0,0x80
37,740537,0,0,0,0,0x80
38,760788,0,0,0,0,0x80
39,781026,0,0,0,0,0x80
40,800096,0,0,0,0,0x80
1,18277,0,0,0,1,0x80
2,37523,0,0,0,0,0x80
3,56925,0,0,0,0,0x80
4,77237,0,0,0,1,0x80
5,97344,0,0,0,0,0x80
6,116915,0,0,0,0,0x80
7,136610,0,0,0,0,0x80
8,156715,0,0,0,0,0x80
9,176377,0,0,0,0,0x80
10,196192,0,0,0,0,0x80
11,216472,0,0,0,0,0x80
12,236223,0,0,0,0,0x80
13,255773,0,0,0,0,0x80
14,275781,0,0,0,0,0x80
15,295693,0,0,0,0,0x80
16,315207,0,0,0,0,0x80
17,334926,0,0,0,0,0x80
18,355198,0,0,0,0,0x80
19,375040,0,0,0,0,0x80
20,394787,0,0,0,0,0x80
21,414588,0,0,0,0,0x80
22,434503,0,0,0,0,0x80
23,454207,0,0,0,0,0x80
24,473820,0,0,0,0,0x80
25,493589,0,0,0,0,0x80
1,20885,0,0,0,1,0x80
2,54682,0,0,0,0,0x80
1,22677,0,0,0,1,0x80
2,43345,0,0,0,0,0x80
3,64064,0,0,0,0,0x80
4,84851,0,0,0,0,0x80
5,105744,0,0,0,0,0x80
6,126271,0,0,0,0,0x80
7,146570,0,0,0,0,0x80
8,166932,0,0,0,0,0x80
9,186940,0,0,0,0,0x80
10,205587,0,0,0,0,0x80
11,225521,0,0,0,0,0x80
12,243975,0,0,0,0,0x80
13,262752,0,0,0,0,0x80
1,22109,0,0,0,1,0x80
2,42200,0,0,0,0,0x80
1,34344,0,0,0,1,0x80
2,66957,0,0,0,0,0x80
3,99025,0,0,0,0,0x80
4,130917,0,0,0,0,0x80
5,162929,0,0,0,0,0x80
1,43228,0,0,0,1,0x80
1,34485,0,0,0,1,0x80
2,67365,0,0,0,0,0x80
3,99372,0,0,0,0,0x80
4,130994,0,0,0,0,0x80
5,162709,0,0,0,0,0x80
6,194692,0,0,0,0,0x80
7,227122,0,0,0,0,0x80
1,30726,0,0,0,1,0x80
2,62240,0,0,0,0,0x80
3,93972,0,0,0,0,0x80
4,126046,0,0,0,0,0x80
5,158226,0,0,0,0,0x80
1,32692,0,0,0,1,0x80
1,33654,0,0,0,1,0x80
1,42527,0,0,0,1,0x80
1,34033,0,0,0,2,0x80
2,66316,0,0,0,0,0x80
3,98608,0,0,0,1,0x80
4,131057,0,0,0,0,0x80
5,162960,0,0,0,0,0x80
6,194364,0,0,0,0,0x80
7,226167,0,0,0,0,0x80
8,258069,0,0,0,0,0x80
9,290199,0,0,0,0,0x80
10,322714,0,0,0,0,0x80
11,354772,0,0,0,0,0x80
12,386299,0,0,0,0,0x80
13,418104,0,0,0,0,0x80
14,449962,0,0,0,0,0x80
15,482052,0,0,0,0,0x80
16,514467,0,0,0,0,0x80
17,546847,0,0,0,0,0x80
18,579478,0,0,0,0,0x80
19,611628,0,0,0,0,0x80
20,643081,0,0,0,0,0x80
21,674724,0,0,0,1,0x80
22,706463,0,0,0,0,0x80
23,738368,0,0,0,0,0x80
24,770564,0,0,0,0,0x80
25,802746,0,0,0,0,0x80
1,33607,0,0,0,1,0x80
1,30738,0,0,0,1,0x80
2,62254,0,0,0,2,0x80
